<pre>Sequence ID	Probability of presequence	Prediction	Cleavage site (processing enzyme)	Net charge	Positions for TOM20 recognition motif (deliminated by comma)	Position of amphypathic alpha-helix	BHHPPP	BPHBHH	HBHHBb	HBHHbB	HHBHHB	HHBPHB	HHBPHH	HHBPHP	HHHBBH	HHHBPH	HHHHBB	HHPBHH	HPBHHP	PHHBPH
001_1_2057589856_atp8	0.092	No mitochondrial presequence	83(MPP)	0.036	80-84,85-89	11-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
002_1_2057589856_atp8	0.019	No mitochondrial presequence	47(MPP)	0.021	13-17	8-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
003_1_2057589856_atp8	0.013	No mitochondrial presequence	94(MPP)	-0.032	91-95,96-100	2-11-low	-	-	-	-	-	-	-	-	-	-	1-6	-	-	-	
004_1_2057589856_atp8	0.039	No mitochondrial presequence	23(MPP)	0.000	94-98	7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
005_1_2057589856_atp8	0.009	No mitochondrial presequence	83(MPP)	0.036	40-44,80-84,85-89	14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
006_1_2057589856_atp8	0.044	No mitochondrial presequence	27(MPP)	0.000	35-39,86-90,91-95	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
007_1_2057589856_atp8	0.067	No mitochondrial presequence	90(MPP)	0.022	25-29	18-29-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
008_1_2057589856_atp8	0.054	No mitochondrial presequence	11(MPP)	0.091	88-92,93-97	20-30-low	-	-	-	-	-	-	-	-	6-11	-	-	-	-	-	
009_1_2057589856_atp8	0.115	No mitochondrial presequence	19(MPP)	0.105		17-27-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
010_1_2057589856_atp8	0.051	No mitochondrial presequence	62(MPP)	-0.016		1-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
011_1_2057589856_atp8	0.073	No mitochondrial presequence	22(MPP)	0.000		15-25-high	-	-	-	-	-	-	-	19-24	-	18-23	-	-	-	-	
012_1_2057589856_atp8	0.005	No mitochondrial presequence	35(MPP)	0.029		12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
013_1_2057589856_atp8	0.015	No mitochondrial presequence	87(MPP)	0.011	84-88,89-93	15-24-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
014_1_2057589856_atp8	0.050	No mitochondrial presequence	18(MPP)	0.056	16-20,47-51,63-67	16-25-high	-	-	-	-	-	-	-	-	14-19	-	-	-	-	-	
015_1_2057589856_atp8	0.003	No mitochondrial presequence	85(MPP)	-0.035	82-86,87-91	16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
016_1_2057589856_atp8	0.090	No mitochondrial presequence	34(MPP)	0.147	31-35,52-56	13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
017_1_2057589856_atp8	0.042	No mitochondrial presequence	24(MPP)	0.042	21-25,80-84,85-89	17-26-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
018_1_2057589856_atp8	0.009	No mitochondrial presequence	25(MPP), 26(Icp55)	0.000	77-81	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
019_1_2057589856_atp8	0.041	No mitochondrial presequence	15(MPP)	0.067	13-17,43-47,50-54	2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
020_1_2057589856_atp8	0.011	No mitochondrial presequence	63(MPP)	-0.032	41-45	7-16-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
021_1_2057589856_atp8	0.022	No mitochondrial presequence	27(MPP)	-0.111		3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
022_1_2057589856_atp8	0.109	No mitochondrial presequence	14(MPP)	0.143	11-15,89-93	6-15-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
023_1_2057589856_atp8	0.006	No mitochondrial presequence	15(MPP)	0.067	12-16	7-16-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
024_1_2057589856_atp8	0.009	No mitochondrial presequence	35(MPP)	0.000	14-18	4-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
025_1_2057589856_atp8	0.238	No mitochondrial presequence	29(MPP)	0.172	23-27,56-60	21-30-high	-	6-11	-	-	23-28	-	-	-	-	-	-	-	-	-	
026_1_2057589856_atp8	0.030	No mitochondrial presequence	23(MPP)	0.000	41-45,87-91,92-96	12-21-low	-	-	-	-	-	4-9	-	-	-	3-8	-	-	-	-	
027_1_2057589856_atp8	0.099	No mitochondrial presequence	32(MPP)	0.062	26-30,29-33,53-57	2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
028_1_2057589856_atp8	0.014	No mitochondrial presequence	79(MPP), 80(Icp55)	0.000	1-5,35-39	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
029_1_2057589856_atp8	0.005	No mitochondrial presequence	69(MPP)	-0.029	51-55	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
030_1_2057589856_atp8	0.025	No mitochondrial presequence	88(MPP)	-0.023	85-89,90-94	18-27-low	-	-	-	-	-	1-6	-	-	-	-	-	-	-	-	
031_1_2057589856_atp8	0.064	No mitochondrial presequence	59(MPP)	0.085	57-61	1-10-high	-	-	-	-	-	-	-	-	-	-	24-29	-	-	-	
032_1_2057589856_atp8	0.001	No mitochondrial presequence	11(MPP)	0.000		6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
033_1_2057589856_atp8	0.007	No mitochondrial presequence	13(MPP)	0.000		4-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
034_1_2057589856_atp8	0.053	No mitochondrial presequence	18(MPP)	0.056	43-47,84-88,89-93	2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
