<pre>Sequence ID	Probability of presequence	Prediction	Cleavage site (processing enzyme)	Net charge	Positions for TOM20 recognition motif (deliminated by comma)	Position of amphypathic alpha-helix	BHHPPP	BPHBHH	HBHHBb	HBHHbB	HHBHHB	HHBPHB	HHBPHH	HHBPHP	HHHBBH	HHHBPH	HHHHBB	HHPBHH	HPBHHP	PHHBPH
001_1_3232445586_hac1	0.176	No mitochondrial presequence	19(MPP)	0.105	13-17,16-20,90-94	3-14-low	-	-	-	-	13-18	-	-	-	-	-	-	-	-	-	
002_1_3232445586_hac1	0.002	No mitochondrial presequence	6(MPP)	0.333	91-95	1-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
003_1_3232445586_hac1	0.026	No mitochondrial presequence	39(MPP)	0.051	24-28,31-35	19-28-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
004_1_3232445586_hac1	0.030	No mitochondrial presequence	10(MPP)	0.300	1-5,18-22,82-86	17-26-high	-	-	-	-	-	-	-	-	-	-	4-9	-	-	-	
005_1_3232445586_hac1	0.011	No mitochondrial presequence	14(MPP)	-0.071	30-34	9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
006_1_3232445586_hac1	0.017	No mitochondrial presequence	34(MPP)	0.029	91-95	4-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
007_1_3232445586_hac1	0.036	No mitochondrial presequence	64(MPP)	0.031		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
008_1_3232445586_hac1	0.024	No mitochondrial presequence	28(MPP)	0.179	7-11,11-15,46-50,52-56	7-16-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
009_1_3232445586_hac1	0.012	No mitochondrial presequence	92(MPP)	-0.033	34-38,39-43,79-83	18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
010_1_3232445586_hac1	0.000	No mitochondrial presequence	44(MPP)	0.000		3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
011_1_3232445586_hac1	0.014	No mitochondrial presequence	24(MPP), 25(Icp55)	-0.167		16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
012_1_3232445586_hac1	0.001	No mitochondrial presequence	17(MPP)	-0.059		5-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
013_1_3232445586_hac1	0.021	No mitochondrial presequence	51(MPP)	-0.020	15-19,48-52,81-85	14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
014_1_3232445586_hac1	0.032	No mitochondrial presequence	38(MPP)	0.026	31-35,50-54	18-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
